date,geography,geography code,Country of birth: Total; measures: Value,Country of birth: Europe; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,Country of birth: Europe: EU countries; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Country of birth: Africa; measures: Value,Country of birth: Middle East and Asia; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,Country of birth: British Overseas ; measures: Value
2021,Birmingham 023A,E01009002,2050,1752,1552,179,91,60,27,1,21,21,130,95,67,2,4
2021,Birmingham 023C,E01009006,1557,1409,1225,168,43,59,64,2,16,16,47,49,44,0,8
2021,Birmingham 023D,E01009007,1821,1566,1223,329,60,155,113,1,14,14,80,140,30,4,1
2021,Birmingham 023G,E01034915,1869,1427,1287,136,31,64,41,0,4,4,242,162,33,2,3
2021,Birmingham 023H,E01034916,1495,1320,1141,175,79,65,28,3,4,4,45,71,55,0,4
2021,Birmingham 024A,E01009237,1473,1148,1026,120,51,39,29,1,2,2,99,174,51,0,1
2021,Birmingham 024B,E01009238,1753,1428,1325,92,55,24,10,3,11,11,36,235,52,1,1
2021,Birmingham 024C,E01009240,1527,1190,1073,114,46,24,43,1,3,3,59,204,61,4,9
2021,Birmingham 024D,E01009241,1781,1378,1241,130,61,41,28,0,7,7,85,255,58,2,3
2021,Birmingham 024E,E01009242,2071,1507,1268,226,112,50,64,0,13,13,144,345,71,1,3
2021,Birmingham 025A,E01009005,1754,1567,1393,163,39,85,39,0,11,11,64,84,33,3,3
2021,Birmingham 025B,E01009009,1487,1352,1247,104,66,23,14,1,1,1,20,91,21,2,1
2021,Birmingham 025C,E01009098,2112,1900,1799,97,47,30,18,2,4,4,41,125,45,1,0
2021,Birmingham 025D,E01009100,1934,1704,1582,109,43,44,21,1,13,13,51,134,45,0,0
2021,Birmingham 025E,E01009105,1796,1667,1568,85,57,19,8,1,14,14,54,61,12,2,0
2021,Birmingham 026A,E01009126,1485,1290,1209,75,16,38,20,1,6,6,24,134,35,1,1
2021,Birmingham 026B,E01009408,1778,1447,1286,150,34,78,35,3,11,11,64,197,67,2,1
2021,Birmingham 026C,E01009409,1851,1555,1202,325,70,170,80,5,28,28,130,111,54,1,0
2021,Birmingham 026D,E01009410,1918,1580,1376,196,68,91,35,2,8,8,87,204,45,1,1
2021,Birmingham 029A,E01009096,1675,1601,1524,71,43,15,12,1,6,6,40,14,15,4,1
2021,Birmingham 029B,E01009097,2046,1932,1865,66,30,25,11,0,1,1,49,33,28,3,1
2021,Birmingham 029C,E01009099,1759,1681,1593,84,28,42,14,0,4,4,35,27,15,0,1
2021,Birmingham 029D,E01009101,1520,1442,1389,52,28,9,15,0,1,1,23,34,21,0,0
2021,Birmingham 029E,E01009103,1576,1500,1456,41,23,7,11,0,3,3,24,30,18,4,0
2021,Birmingham 029F,E01009106,1355,1306,1251,53,20,24,9,0,2,2,11,28,9,0,1
2021,Birmingham 030A,E01008915,1781,1318,1080,215,53,64,97,1,23,23,111,323,25,0,4
2021,Birmingham 030B,E01009411,1901,1603,1372,219,57,111,51,0,12,12,88,168,38,2,2
2021,Birmingham 030C,E01009412,1788,1369,1151,187,50,76,61,0,31,31,89,241,84,2,3
2021,Birmingham 030D,E01009413,1812,1370,1142,214,64,87,63,0,14,14,107,247,77,1,10
2021,Birmingham 030E,E01009414,2358,1901,1588,302,66,126,108,2,11,11,99,280,71,1,6
2021,Birmingham 031A,E01008998,1914,1504,1319,175,49,69,57,0,10,10,78,273,55,1,3
2021,Birmingham 031B,E01008999,1584,1261,1157,101,41,46,14,0,3,3,50,214,54,0,5
2021,Birmingham 031C,E01009000,1736,1448,1125,305,90,117,94,4,18,18,93,136,57,1,1
2021,Birmingham 031D,E01009013,2018,1730,1453,267,67,132,65,3,10,10,79,158,48,2,1
2021,Birmingham 031E,E01009400,1686,1363,1205,146,54,46,44,2,12,12,66,210,44,3,0
2021,Birmingham 031F,E01009401,1852,1499,1296,185,52,76,57,0,18,18,84,216,47,0,6
2021,Birmingham 031H,E01033630,1226,990,776,208,49,115,44,0,6,6,114,91,29,1,1
2021,Birmingham 031I,E01033646,1832,1506,1187,299,70,153,74,2,20,20,127,120,76,0,3
2021,Birmingham 032A,E01009049,1641,1087,987,98,36,25,37,0,2,2,92,360,102,0,0
2021,Birmingham 032B,E01009056,2251,1507,1357,131,77,37,17,0,19,19,199,419,120,2,4
2021,Birmingham 032C,E01009263,1637,1176,1058,114,34,56,24,0,4,4,96,275,85,1,4
2021,Birmingham 032D,E01009264,1830,1400,1100,276,90,109,66,11,24,24,171,164,84,3,8
2021,Birmingham 032E,E01009265,1795,1189,1047,126,57,38,31,0,16,16,62,497,47,0,0
2021,Birmingham 033A,E01009051,1816,1089,943,132,93,20,19,0,14,14,203,460,58,0,6
2021,Birmingham 033B,E01009053,1629,994,878,110,92,11,5,2,6,6,92,503,38,0,2
2021,Birmingham 033C,E01009054,1641,1008,949,53,30,17,5,1,6,6,132,436,64,0,1
2021,Birmingham 033D,E01009058,1973,1291,1139,150,107,24,19,0,2,2,126,542,14,0,0
2021,Birmingham 033E,E01009061,1866,1105,1022,77,60,7,10,0,6,6,124,610,25,1,1
2021,Birmingham 033F,E01009239,1473,1074,893,168,63,36,64,5,13,13,128,213,56,0,2
2021,Birmingham 034A,E01009266,1782,1131,841,286,72,120,94,0,4,4,60,495,91,3,2
2021,Birmingham 034B,E01009269,1478,923,622,292,94,97,101,0,9,9,111,386,50,0,8
2021,Birmingham 034C,E01009270,2008,1309,1209,94,49,22,23,0,6,6,101,501,96,1,0
2021,Birmingham 034D,E01009271,1621,994,772,217,79,90,48,0,5,5,64,475,78,0,10
2021,Birmingham 034E,E01009273,1583,930,787,138,41,46,51,0,5,5,43,516,94,0,0
2021,Birmingham 035A,E01009050,2264,1473,1246,223,96,38,89,0,4,4,229,445,104,1,12
2021,Birmingham 035D,E01009057,1984,1264,1150,108,45,42,21,0,6,6,158,459,96,0,7
2021,Birmingham 035E,E01009059,1791,1171,1091,70,37,26,7,0,10,10,131,387,94,1,7
2021,Birmingham 035F,E01009060,1753,1112,1034,75,52,20,3,0,3,3,109,464,68,0,0
2021,Birmingham 035H,E01034917,1673,1086,973,108,51,22,35,0,5,5,168,347,67,1,4
2021,Birmingham 035I,E01034918,1738,1045,934,106,63,29,14,0,5,5,184,415,87,0,7
2021,Birmingham 036A,E01009268,1472,963,834,125,37,65,23,0,4,4,48,417,43,0,1
2021,Birmingham 036B,E01009272,1394,955,828,126,43,65,18,0,1,1,90,278,66,1,4
2021,Birmingham 036C,E01009274,2064,1258,1060,192,75,74,43,0,6,6,118,569,108,4,7
2021,Birmingham 036D,E01009349,1664,1050,870,177,39,62,76,0,3,3,119,410,78,0,7
2021,Birmingham 036E,E01009351,1723,975,814,155,53,27,75,0,6,6,68,622,56,0,2
2021,Birmingham 036F,E01009354,1559,910,778,117,46,30,41,0,15,15,66,442,136,0,5
2021,Birmingham 037A,E01008899,1293,843,721,115,47,32,36,0,7,7,135,277,38,0,0
2021,Birmingham 037C,E01008901,1807,1161,1080,72,51,12,9,0,9,9,133,436,75,1,1
2021,Birmingham 037E,E01008916,1750,1140,960,177,76,13,88,0,3,3,114,468,28,0,0
2021,Birmingham 037G,E01034919,1664,957,845,112,73,19,20,0,0,0,106,545,50,1,5
